Date,Open,High,Low,Close,Volume
2000-01-03,202.97,204.79,200.83,202.07,3722165000
2000-01-04,202.11,203.15,200.78,201.61,5949305000
2000-01-05,202.78,205.5,201.88,204.4,6385579000
2000-01-06,203.0,213.4,201.66,210.93,13391747000
2000-01-07,209.82,210.64,209.12,210.01,6948668000
2000-01-10,206.33,209.96,204.45,209.11,8131484000
2000-01-11,210.66,218.26,208.59,216.32,7254668000
2000-01-12,217.18,221.24,215.53,220.02,6115103000
2000-01-13,219.72,220.94,216.72,217.9,9443049000
2000-01-14,219.39,222.95,217.81,220.67,17912416000
2000-01-17,222.21,224.6,216.28,218.57,8626642000
2000-01-18,219.05,220.61,214.22,216.5,16927189000
2000-01-19,218.07,219.45,215.28,217.95,11950428000
2000-01-20,218.3,219.7,207.05,208.65,15839277000
2000-01-21,207.29,208.07,199.08,200.69,9087738000
2000-01-24,200.15,201.07,197.38,198.54,4107292000
2000-01-25,199.56,200.45,193.39,194.32,16741874000
2000-01-26,197.18,198.79,195.09,196.39,6510096000
2000-01-27,197.18,198.07,191.74,192.7,4298388000
2000-01-28,194.46,195.17,185.85,186.76,10972014000
2000-01-31,188.57,195.63,185.88,194.24,3797722000
2000-02-01,195.57,196.45,193.12,193.87,14378598000
2000-02-02,193.87,198.27,191.42,194.95,12000623000
2000-02-03,192.14,192.9,187.55,188.71,7939562000
2000-02-04,186.99,189.32,185.66,186.95,3064320000
2000-02-07,187.65,190.22,186.75,188.38,18397350000
2000-02-08,186.82,187.6,182.71,183.68,6116717000
2000-02-09,182.29,187.25,181.04,186.46,7298608000
2000-02-10,185.87,186.22,183.68,184.5,4001646000
2000-02-11,182.93,185.67,181.71,184.11,6358363000
2000-02-14,185.25,186.54,181.68,182.22,21969458000
2000-02-15,180.85,194.88,179.0,192.34,10520991000
2000-02-16,193.07,195.41,189.48,193.3,5537120000
2000-02-17,194.91,196.85,187.91,188.81,6484176000
2000-02-18,185.27,194.86,184.3,194.16,9744448000
2000-02-21,191.72,193.34,187.37,188.75,7980587000
2000-02-22,191.23,192.39,190.64,191.0,16891065000
2000-02-23,192.79,193.4,180.75,181.8,13104527000
2000-02-24,182.66,183.27,175.41,176.35,6955748000
2000-02-25,176.38,180.12,174.63,178.69,9546194000
2000-02-28,176.7,185.82,175.89,183.78,5481067000
2000-02-29,183.34,187.29,181.12,186.01,11220080000
2000-03-01,183.94,188.15,181.14,186.76,15898938000
2000-03-02,188.78372997032642,190.98144510385757,184.22846587537092,186.32628486646885,8257011000
2000-03-03,188.39785459940651,188.83694065281898,178.84773293768546,179.6460712166172,2686355000
2000-03-06,181.38309347181007,184.22421364985163,176.3089525222552,177.23605489614243,18153611000
2000-03-07,177.4198694362018,178.66467655786352,175.28875964391693,176.22485459940654,18436213000
2000-03-08,177.88146142433234,185.3723590504451,175.36459940652819,182.98482195845696,8533127000
2000-03-09,180.85593768545993,188.23963798219583,178.19263798219583,186.14278635014836,20389833000
2000-03-10,184.4492284866469,186.28577893175074,177.22215430267065,177.90713798219585,7946671000
2000-03-13,174.66660534124628,183.0860652818991,173.7740830860534,181.01343026706232,4034194000
2000-03-14,181.94329673590505,183.0032952522255,178.06984421364984,180.39787833827893,11465367000
2000-03-15,180.12958456973294,181.95047477744808,175.76538575667658,178.25921364985163,14918295000
2000-03-16,175.02732195845698,184.8933071216617,173.17868545994065,182.95569881305636,7300510000
2000-03-17,183.96828486646882,190.5847833827893,182.63510979228485,189.96263501483682,7192868000
2000-03-20,188.80595103857567,197.31943323442138,187.60242284866467,196.5894243323442,8123264000
2000-03-21,195.99812759643913,198.25483086053413,189.8685667655786,193.08116617210683,4184741000
2000-03-22,196.85474035608308,199.74893916913945,191.7652818991098,192.73001483679525,9617043000
2000-03-23,192.98887240356083,197.5419347181009,191.56296735905048,196.06686053412463,10891065000
2000-03-24,200.04457566765575,204.39636053412463,198.40406083086052,203.1684302670623,10231861000
2000-03-27,202.61017507418399,204.7396083086053,198.83214836795253,201.65830860534123,4903643000
2000-03-28,203.199559347181,204.2484451038576,200.29796884273,201.95462017804155,10449014000
2000-03-29,201.24124629080117,205.10919881305637,192.95697329376856,196.75637982195846,7391010000
2000-03-30,198.9149183976261,199.3159762611276,190.39488427299702,191.28503709198813,8925243000
2000-03-31,190.27090801186944,198.8893827893175,188.93221068249258,197.48228486646883,12650943000
2000-04-03,197.0966884272997,207.82416765578637,195.6715637982196,206.96518842729972,7081910000
2000-04-04,211.3960830860534,213.98978041543026,204.87283679525223,207.9833234421365,5644505000
2000-04-05,205.78450296735906,217.28786350148368,204.35267062314543,215.63200296735906,5646511000
2000-04-06,215.95669139465875,220.4908575667656,214.8669347181009,219.35245103857568,6973768000
2000-04-07,220.0805534124629,221.46073442136498,215.07496735905045,216.56206379821958,4338915000
2000-04-10,215.31119287833826,222.9426231454006,213.62179228486647,220.31143026706232,7260754000
2000-04-11,220.06606824925817,233.48922551928786,218.36877596439172,231.70464391691397,6771251000
2000-04-12,230.17765578635016,235.9325816023739,226.71888724035608,232.78384272997033,6197354000
2000-04-13,229.0598872403561,245.38674332344215,228.20821958456975,244.7963827893175,8831635000
2000-04-14,245.24909198813057,245.95483086053414,226.75486646884275,227.25758456973296,22142261000
2000-04-17,227.89225816023736,236.2844258160237,225.1206216617211,234.13085459940652,4934083000
2000-04-18,233.69577151335312,237.09147477744807,232.32591394658755,236.09784569732938,8365892000
2000-04-19,241.60629080118696,245.1043397626113,232.9334421364985,235.42929525222553,11056879000
2000-04-20,236.9178872403561,239.9693649851632,235.40658753709198,237.44732344213648,9469004000
2000-04-21,237.2680637982196,238.93158456973293,223.9791290801187,225.23878931750744,3749430000
2000-04-24,226.9069762611276,227.59856083086052,224.32313946587539,225.3605163204748,12123147000
2000-04-25,229.47295548961424,231.8716943620178,227.53477448071214,229.2330816023739,10103327000
2000-04-26,227.18305637982195,241.7611869436202,225.1894658753709,240.42893175074184,12679824000
2000-04-27,236.9227566765579,240.40775964391693,235.0462166172107,238.33016172106827,7077282000
2000-04-28,236.0249762611276,237.1343768545994,233.34711275964392,234.37043916913947,13560825000
2000-05-01,232.40586498516322,234.26878041543026,229.13859792284867,232.60648664688426,8084772000
2000-05-02,228.6318338278932,241.27634421364988,226.5132818991098,240.14072403560832,3422822000
2000-05-03,236.8956602373887,245.32251483679528,235.63735163204746,243.8544881305638,11127316000
2000-05-04,242.58897329376853,245.0742818991098,239.68468545994065,241.7795816023739,11648896000
2000-05-05,243.79872551928784,248.00297181008904,241.19247329376856,246.72838130563798,9133883000
2000-05-08,245.80338278931748,250.64913946587538,243.81757270029675,248.8913649851632,5444231000
2000-05-09,243.3707329376855,259.1734109792285,242.52602522255194,256.95249406528194,17359722000
2000-05-10,258.55798219584574,261.27894658753706,251.51381305637986,253.50476261127596,6187526000
2000-05-11,255.92610089020772,259.1176008902077,249.90297329376853,252.75354154302667,4671543000
2000-05-12,251.43576261127598,254.01832640949553,248.54102077151336,251.61550148367954,9972371000
2000-05-15,252.42595994065283,253.32366765578635,242.54172551928787,243.3732863501484,6208370000
2000-05-16,240.48171216617212,248.02360830860533,239.06583679525224,246.9192255192878,8973518000
2000-05-17,247.26041543026707,251.96537833827895,245.3086572700297,250.2304821958457,8843274000
